Track name,Artist name,Album,Playlist name,Type,ISRC
"Sabotage - Mun'Ra","","","meu amô","Playlist",""
"Imagine Dragons x J.I.D - Enemy (from the series Arcane League of Legends)","","","meu amô","Playlist",""
"509-E - Oitavo Anjo","","","meu amô","Playlist",""
"Rita Lee · Zélia Duncan - Pagu","","","meu amô","Playlist",""
"Kalli - Kallidade (Lyric Vídeo)","","","meu amô","Playlist",""
"Kant ft. Nog e Spinardi - Click Clack Bum | Prod. Chiocki","","","meu amô","Playlist",""
"Rincon Sapiência - Ponta de Lança (Verso Livre)","","","meu amô","Playlist",""
"Tragédie - Hey Oh (Clip Officiel)","","","meu amô","Playlist",""
"Vem Cá - Pelé MilFlows (Prod. Volp & Rafa Valle)","","","meu amô","Playlist",""
"Guiu · Dk 47 · IssoQueÉSomDeRap · Soffiatti - Racista e N1Ke (feat. Soffiatti)","","","meu amô","Playlist",""
"VOLTEI PRA CACHORRADA - AÍ QUE SAUDADE - MC Meno Dani (Love Funk) DJ Jeeh FDC e DJ Cyclone","","","meu amô","Playlist",""
"SMOSH Assassin's Creed 3 Song [MUSIC VIDEO]","","","Nostalgia","Playlist",""
"Rucka Rucka Ali - Fat Violent Dykes","","","Nostalgia","Playlist",""
"I Wish I Was A Black Guy - JULIAN SMITH","","","Nostalgia","Playlist",""
"EVERYBODY DO THE FLOP (asdfmovie song)","","","Nostalgia","Playlist",""
"🎵OVERWATCH: No Mercy - The Living Tombstone 🎵","","","Nostalgia","Playlist",""
"""Revenge"" - A Minecraft Parody of Usher's DJ Got Us Fallin' In Love (Music Video)","","","Nostalgia","Playlist",""
"""TNT"" - A Minecraft Parody of Taio Cruz's Dynamite (Music Video)","","","Nostalgia","Playlist",""
"I Choose You To Die! (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"Luigi's Ballad (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"BEST Zelda Rap EVER!! (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"Mega Marital Problems - Legendado PT-BR","","","STARBOMB","Playlist",""
"Rap Battle: Ryu vs. Ken (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"Crasher-Vania (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"Sonic's Best Pal - Legendado PT-BR","","","STARBOMB","Playlist",""
"Metroid Parody REGRETROID - Legendado PT-BR","","","STARBOMB","Playlist",""
"The Simple Plot of Final Fantasy 7 - Legendado PT-BR","","","STARBOMB","Playlist",""
"SMASH! (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"Robots in Need of Disguise! - Starbomb  fan animated music video","","","STARBOMB","Playlist",""
"The Hero of Rhyme (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"The NEW Pokerap!! - ANIMATED MUSIC VIDEO by grind3h - Starbomb","","","STARBOMB","Playlist",""
"Glass Joe's Title Fight (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"The New Pokérap - Legendado PT-BR (Starbomb)","","","STARBOMB","Playlist",""
"Minecraft is For Everyone - Legendado PT-BR (Egoraptor)","","","STARBOMB","Playlist",""
"The Simple Plot of Metal Gear Solid - Legendado PT-BR","","","STARBOMB","Playlist",""
"Mortal Kombat High - Legendado PT-BR (Starbomb)","","","STARBOMB","Playlist",""
"God of No More (Starbomb) - Legendado PT-BR","","","STARBOMB","Playlist",""
"Tetris RAP ANIMATED! The Long Piece is the BEST PIECE!! - (Animated by TopSpinTheFuzzy and Lady Red)","","","STARBOMB","Playlist",""
"SICKEST Mario Party RAP!! - ANIMATED MUSIC VIDEO (animated by Gregzilla)","","","STARBOMB","Playlist",""
"The Simple Plot of Final Fantasy 7 - ANIMATED MUSIC VIDEO by Starbomb Collab","","","STARBOMB","Playlist",""
"Overwatch RAP Music Video - Starbomb (animated by Knights of the Light Table)","","","STARBOMB","Playlist",""
"Vegeta's Serenade - STARBOMB FAN ANIMATION (FULL ANIMATIC) #STARBOMB #dragonball #fananimation","","","STARBOMB","Playlist",""
"Starbomb - Kiss The Elden Ring (Official Music Video)","","","STARBOMB","Playlist",""
"Tyler, The Creator · Daniel Caesar - St. Chroma","","","Muasicas do Kuduairo","Playlist",""
"Tyler, The Creator - Rah Tah Tah","","","Muasicas do Kuduairo","Playlist",""
"NOID","","","Muasicas do Kuduairo","Playlist",""
"Tyler, The Creator · GloRilla · Sexyy Red · Lil Wayne - Sticky","","","Muasicas do Kuduairo","Playlist",""
"Tyler, The Creator - I Killed You","","","Muasicas do Kuduairo","Playlist",""
"Tyler, The Creator · Teezo Touchdown - Darling, I","","","Muasicas do Kuduairo","Playlist",""
"Costa Gold e Haikaiss - Irmão DQbrada! (prod. Nox e Andre Nine) (Clipe Oficial)","","","Muasicas do Kuduairo","Playlist",""
"""TheCypherDeffect"" - Costa Gold Apresenta: DAMASSACLAN ! [Haikaiss, DonCesão, Família Madá & DJ EB]","","","Muasicas do Kuduairo","Playlist",""
"LUCAS HYPE x YUNG LIXO x LUVI - Naná Gang (Clipe Oficial)","","","Muasicas do Kuduairo","Playlist",""
"EU NEM TAVA LÁ! | PARÓDIA Costa Gold com Marechal e Luccas Carlos","","","Muasicas do Kuduairo","Playlist",""
"A$AP Rocky - Praise The Lord (Da Shine) (Official Video) ft. Skepta","","","Muasicas do Kuduairo","Playlist",""
"Kant ft. Nog e Spinardi - Click Clack Bum | Prod. Chiocki","","","Muasicas do Kuduairo","Playlist",""
"Costa Gold - UAU! (Clipe Oficial)","","","Muasicas do Kuduairo","Playlist",""
"Childish Gambino - Little Foot Big Foot (Lyrics) ft. Young Nudy","","","Muasicas do Kuduairo","Playlist",""
"Sabotage - Mun'Ra","","","Muasicas do Kuduairo","Playlist",""
"yun li - Twist (prod liwan, hakuro & yun li)","","","Muasicas do Kuduairo","Playlist",""
"yun li - American Dream (prod liwan, hakuro & yun li)","","","Muasicas do Kuduairo","Playlist",""
"yun li - A Cidade Sem Você (prod liwan, hakuro & yun li)","","","Muasicas do Kuduairo","Playlist",""
"yun li - Um Certo Alguém (prod liwan, hakuro & yun li)","","","Muasicas do Kuduairo","Playlist",""
"yun li - Oxford Shoes (prod liwan, hakuro & yun li)","","","Muasicas do Kuduairo","Playlist",""
"Guilherme Arantes - Cheia de Charme","","","Muasicas do Kuduairo","Playlist",""
"Fabio Brazza e Péricles - Só Uma Noite (Clipe Oficial) [Prod.  Paiva e Mortão VMG]","","","Muasicas do Kuduairo","Playlist",""
"Connor Price & bbno$ - Not A Beanie (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"bbno$ - it boy (Lyrics)","","","Muasicas do Kuduairo","Playlist",""
"Not Like Us","","","Muasicas do Kuduairo","Playlist",""
"Marcelo D2 - Sou Ronaldo HD","","","Muasicas do Kuduairo","Playlist",""
"Falling In Reverse - ""Watch The World Burn""","","","Muasicas do Kuduairo","Playlist",""
"Rogério Skylab · Mc Gorila - Cabecinha","","","Muasicas do Kuduairo","Playlist",""
"13  Eu sou cliente de lá","","","Muasicas do Kuduairo","Playlist",""
"BACTÉRIA GET LUCKY - MC Ray-Ban","","","Muasicas do Kuduairo","Playlist",""
"Biffe - Bubbaloo","","","Muasicas do Kuduairo","Playlist",""
"Terra Celta  - A Torre","","","Muasicas do Kuduairo","Playlist",""
"VULGOFK - ᗪØWN BELØW (AMONG US REMIX) | LEOD","","","Muasicas do Kuduairo","Playlist",""
"CHEIRO DE MANIAS | LEOD","","","Muasicas do Kuduairo","Playlist",""
"I Saw you Saying (That You Say That You Saw) - Raimundos - Lyrics","","","Muasicas do Kuduairo","Playlist",""
"INDIAN MOONLIGHT (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"yung lixo - uh la la (prod biffe)","","","Muasicas do Kuduairo","Playlist",""
"Hóstia - O Rappa","","","Muasicas do Kuduairo","Playlist",""
"Leno Brega Trepada em Cuiabá","","","Muasicas do Kuduairo","Playlist",""
"yung lixo - ratatouille (prod bife)","","","Muasicas do Kuduairo","Playlist",""
"HOJE TEM GOL DO RIBAMAR -  MC NANDINHO e PITTER CORREA ((Áudio Oficial))","","","Muasicas do Kuduairo","Playlist",""
"Conexão Zona Sul - Racionais MC's ft. ClariS","","","Muasicas do Kuduairo","Playlist",""
"BLINDING AZEITONA (EXTENDED VERSION) | LEOD","","","Muasicas do Kuduairo","Playlist",""
"MC POZE NOS ANOS 80 pt. III","","","Muasicas do Kuduairo","Playlist",""
"Djavan · Stevie Wonder - Samurai","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - BALI ft. Guapdad 4000 (Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - Love In My Pocket (Unfinished Video)","","","Muasicas do Kuduairo","Playlist",""
"bonfire/cursed images meme (full song)","","","Muasicas do Kuduairo","Playlist",""
"The Chords - Sh-Boom","","","Muasicas do Kuduairo","Playlist",""
"Revelação:Velocidade da luz","","","Muasicas do Kuduairo","Playlist",""
"Shake It Bololô ft. Classics of MPB","","","Muasicas do Kuduairo","Playlist",""
"MC POZE NOS ANOS 80","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - History (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"The Notorious B.I.G. - Big Poppa (2007 Remaster)","","","Muasicas do Kuduairo","Playlist",""
"Godzilla (feat. Juice WRLD) [Official Audio]","","","Muasicas do Kuduairo","Playlist",""
"Post Malone - Take What You Want (Official Audio) ft. Ozzy Osbourne, Travis Scott","","","Muasicas do Kuduairo","Playlist",""
"Stuck In the Sound - Let's Go [Official Video]","","","Muasicas do Kuduairo","Playlist",""
"Elton John - I'm Still Standing","","","Muasicas do Kuduairo","Playlist",""
"Dropkick Murphys - ""Rose Tattoo"" (Video)","","","Muasicas do Kuduairo","Playlist",""
"Lil Nas X - HOLIDAY (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"Warriors (ft. Imagine Dragons) | Worlds 2014 - League of Legends","","","Muasicas do Kuduairo","Playlist",""
"Eminem - The Real Slim Shady (Official Video - Clean Version)","","","Muasicas do Kuduairo","Playlist",""
"Pentakill - Lightbringer [OFFICIAL AUDIO] | League of Legends Music","","","Muasicas do Kuduairo","Playlist",""
"Pentakill - Deathfire Grasp [OFFICIAL AUDIO] | League of Legends Music","","","Muasicas do Kuduairo","Playlist",""
"Cuphead - Porkrind's Shop [Electro Swing Remix]","","","Muasicas do Kuduairo","Playlist",""
"[Electro Swing Remix] A Friend Like Me","","","Muasicas do Kuduairo","Playlist",""
"Kristofer Maddigan - Floral Fury","","","Muasicas do Kuduairo","Playlist",""
"TMG & Orenji | Deltarune - Lancer's Theme [Electro Swing]","","","Muasicas do Kuduairo","Playlist",""
"[Electro Swing Remix] Friends On The Other Side (The Princess and The Frog)","","","Muasicas do Kuduairo","Playlist",""
"CAZZETTE - She Wants Me Dead ft. The High (CAZZETTE vs. AronChupa) [Official Video]","","","Muasicas do Kuduairo","Playlist",""
"O Rappa - Vapor barato","","","Muasicas do Kuduairo","Playlist",""
"O Rappa - O que sobrou do céu","","","Muasicas do Kuduairo","Playlist",""
"O Rappa - Minha alma (A paz que eu não quero)","","","Muasicas do Kuduairo","Playlist",""
"Charlie Brown Jr   Lutar Pelo Que É Meu","","","Muasicas do Kuduairo","Playlist",""
"SIAMÉS - The Wolf [Legendado]","","","Muasicas do Kuduairo","Playlist",""
"yung lixo - tomodachi ft. SHO-SENSEI!! [prod biffe] (official video)","","","Muasicas do Kuduairo","Playlist",""
"JoJo's Bizarre Adventure Opening 5 Full『CRAZY NOISY BIZARRE TOWN』","","","Muasicas do Kuduairo","Playlist",""
"ProleteR - April Showers","","","Muasicas do Kuduairo","Playlist",""
"SoulChef - Write This Down (Feat. Nieve)","","","Muasicas do Kuduairo","Playlist",""
"The Notorious B.I.G. - Juicy (Official Video) [4K]","","","Muasicas do Kuduairo","Playlist",""
"２０００ｓ　ｖｉｂｅｓ| LEOD","","","Muasicas do Kuduairo","Playlist",""
"SAY POZE | LEOD","","","Muasicas do Kuduairo","Playlist",""
"MC POZE KAWAII (OMAE WA MOU SHINDEIRU) | LEOD","","","Muasicas do Kuduairo","Playlist",""
"MC TIMBU - PALAVRAS NÃO BASTAM, TEM QUE SE ENVOLVER [DJ BRUNO] | LYRICS by @Lipee","","","Muasicas do Kuduairo","Playlist",""
"Ariana Grande - 7 rings (Lyrics)","","","Muasicas do Kuduairo","Playlist",""
"Unsainted - Slipknot (lyrics in both)","","","Muasicas do Kuduairo","Playlist",""
"Matthew Perryman Jones - Living in the Shadows | Love, Death & Robots OST","","","Muasicas do Kuduairo","Playlist",""
"DOKI DOKI MC POZE CLUB","","","Muasicas do Kuduairo","Playlist",""
"LUCAS HYPE x LIL' LIXO x LOREN TRALHA - TRINDADE (prod. AndreOnBeat) [CLIPE OFICIAL]","","","Muasicas do Kuduairo","Playlist",""
"Lil Nas X - MONTERO (Call Me By Your Name) (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"CHEIRO DE KIMI NO TORIKO | LEOD","","","Muasicas do Kuduairo","Playlist",""
"PMM X LUCAS HYPE X YUNG LIXO X LUVI - Naná Gang (Remix)","","","Muasicas do Kuduairo","Playlist",""
"BEST TALARICA (Daniel Ceaser ft. DJ Rennan da Penha)","","","Muasicas do Kuduairo","Playlist",""
"tell a tale - Lancinho (cover)","","","Muasicas do Kuduairo","Playlist",""
"NA RABA TOMA BUTTERCUP","","","Muasicas do Kuduairo","Playlist",""
"Yung Lixo - Desgraça","","","Muasicas do Kuduairo","Playlist",""
"yung lixo - porsche panamera (official video) [prod bife]","","","Muasicas do Kuduairo","Playlist",""
"""MULHER MARAVILHA""","","","Muasicas do Kuduairo","Playlist",""
"yung lixo - phones3x ft. yumaru (official audio) [prod EF e BIFE]","","","Muasicas do Kuduairo","Playlist",""
"TOKYO'S REVENGE - GOODMORNINGTOKYO!","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - Gold Coast (Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"Post Malone - Circles (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - Curious (Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"yung lixo - passando mal (prod yung lixo & bife)","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian ft. Joji - Where Does The Time Go (Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"Xande de Pilares - Tá Escrito (Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse) (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"Tom Jobim - Wave (Lofi version. GabrielMzero remix)","","","Muasicas do Kuduairo","Playlist",""
"大張偉 Wowkie Zhang【陽光彩虹小白馬】HD 高清官方完整版 MV","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian ft. Joji - Introvert","","","Muasicas do Kuduairo","Playlist",""
"MC Doguinha - I'm yours (Vem e Brota Aqui Na Base)","","","Muasicas do Kuduairo","Playlist",""
"Yakuza Kiwami OST - 30 ばかみたい 哀愁 Baka Mitai [Full Spec Edition]","","","Muasicas do Kuduairo","Playlist",""
"PINK GUY - STFU","","","Muasicas do Kuduairo","Playlist",""
"Djavan - Flor de Lis (The Essence of Samba) [Brazilian Music]","","","Muasicas do Kuduairo","Playlist",""
"Ai Foi Que o Barraco Desabou - Jorge Aragão","","","Muasicas do Kuduairo","Playlist",""
"Herva Doce - Amante Profissional (Pseudo Vídeo)","","","Muasicas do Kuduairo","Playlist",""
"Seu Jorge - São Gonça (Ao Vivo)","","","Muasicas do Kuduairo","Playlist",""
"Alice Francis - Shoot Him down!  (Official Video) (Break his neck, neck, neck, neck)","","","Muasicas do Kuduairo","Playlist",""
"Red Hot Chili Peppers - Scar Tissue [Official Music Video] [HD UPGRADE]","","","Muasicas do Kuduairo","Playlist",""
"Burn The Ballroom - Kiss Me You Animal","","","Muasicas do Kuduairo","Playlist",""
"Biffe - Encanto (prod. Lee Beats)","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - Sydney (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"SAY SO x VIDA LOUCA | LEOD MASHUP","","","Muasicas do Kuduairo","Playlist",""
"Panic! At The Disco: The Ballad Of Mona Lisa [OFFICIAL VIDEO]","","","Muasicas do Kuduairo","Playlist",""
"Paramore: Misery Business [OFFICIAL VIDEO]","","","Muasicas do Kuduairo","Playlist",""
"Sum 41 - Fatlip (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Bella Poarch - Build a B*tch (Tradução/Legendado) [Clipe Oficial]","","","Muasicas do Kuduairo","Playlist",""
"Mc Marcinho · Mc Marcinho · Mc Marcinho - Glamurosa","","","Muasicas do Kuduairo","Playlist",""
"DYES IWASAKI - BAD HATTER feat.リリィミズサキ [#ElectroSwing]","","","Muasicas do Kuduairo","Playlist",""
"DESCOBRIDOR DOS SETE POZES | LEOD","","","Muasicas do Kuduairo","Playlist",""
"Gorillaz - Feel Good Inc. (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"CORDEIRO DE NANA / Os Tincoas","","","Muasicas do Kuduairo","Playlist",""
